* Distortion data saved by REW V5.20.13
* Dated: Oct 16, 2023 7:17:45 AM
* Source: Universal Audio Thunderbolt, Universal Audio Thunderbolt, 1, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -40.0 dBFS with no timing reference
* Measurement: 312 （Pad -20）9格
* Frequency Step: 24 ppo
* Freq (Hz) Fundamental (dB) THD (%) Noise (%) H2 (%) H3 (%) H4 (%) H5 (%) H6 (%) H7 (%) H8 (%) H9 (%)
369.713 112.924 10.2 0.0030 6.78 6.65 2.82 2.07 0.383 0.603 1.17 0.776
380.546 112.926 10.2 0.0047 6.78 6.65 2.81 2.07 0.389 0.608 1.17 0.775
391.697 112.928 10.3 0.0030 6.79 6.65 2.81 2.07 0.396 0.613 1.17 0.772
403.175 112.930 10.3 0.0036 6.80 6.66 2.81 2.08 0.403 0.615 1.18 0.769
414.989 112.932 10.3 0.0061 6.80 6.67 2.81 2.08 0.409 0.617 1.18 0.767
427.149 112.934 10.3 0.0040 6.81 6.69 2.80 2.07 0.417 0.619 1.18 0.768
439.665 112.936 10.3 0.0031 6.82 6.71 2.79 2.07 0.423 0.622 1.18 0.766
452.548 112.938 10.3 0.0052 6.82 6.73 2.79 2.06 0.428 0.629 1.18 0.762
465.809 112.939 10.3 0.0033 6.83 6.74 2.79 2.06 0.434 0.633 1.19 0.760
479.458 112.939 10.3 0.0031 6.83 6.74 2.79 2.07 0.440 0.632 1.19 0.760
493.507 112.939 10.3 0.0043 6.84 6.74 2.79 2.06 0.444 0.632 1.19 0.761
507.968 112.939 10.3 0.0042 6.84 6.74 2.79 2.06 0.442 0.633 1.19 0.759
522.853 112.939 10.3 0.0038 6.84 6.74 2.79 2.06 0.439 0.635 1.19 0.758
538.174 112.938 10.3 0.0081 6.84 6.73 2.79 2.07 0.438 0.633 1.19 0.760
553.943 112.938 10.3 0.0047 6.84 6.72 2.79 2.07 0.439 0.629 1.19 0.761
570.175 112.938 10.3 0.0050 6.84 6.72 2.80 2.07 0.439 0.629 1.19 0.760
586.883 112.939 10.3 0.0048 6.84 6.73 2.80 2.07 0.441 0.636 1.19 0.760
604.080 112.940 10.4 0.0028 6.85 6.75 2.80 2.06 0.446 0.638 1.19 0.757
621.780 112.941 10.4 0.0059 6.85 6.76 2.80 2.06 0.448 0.636 1.19 0.759
640.000 112.941 10.4 0.0061 6.85 6.76 2.79 2.06 0.447 0.636 1.19 0.760
658.753 112.941 10.4 0.0061 6.85 6.76 2.79 2.07 0.446 0.640 1.19 0.758
678.056 112.940 10.4 0.0047 6.85 6.75 2.79 2.07 0.445 0.637 1.19 0.760
697.925 112.938 10.3 0.0038 6.85 6.73 2.80 2.07 0.440 0.633 1.19 0.761
718.376 112.936 10.3 0.0039 6.85 6.71 2.81 2.07 0.433 0.632 1.19 0.763
739.426 112.934 10.3 0.0047 6.84 6.71 2.81 2.07 0.425 0.629 1.19 0.766
761.093 112.933 10.3 0.0038 6.84 6.71 2.81 2.06 0.420 0.629 1.19 0.768
783.394 112.933 10.3 0.0059 6.83 6.71 2.81 2.06 0.418 0.630 1.18 0.769
806.349 112.934 10.3 0.0049 6.84 6.71 2.81 2.06 0.420 0.627 1.19 0.768
829.977 112.936 10.3 0.0057 6.85 6.72 2.81 2.06 0.430 0.632 1.19 0.766
854.297 112.939 10.3 0.0050 6.86 6.73 2.80 2.07 0.443 0.637 1.19 0.760
879.330 112.944 10.4 0.0045 6.87 6.76 2.79 2.07 0.457 0.639 1.20 0.755
905.097 112.948 10.4 0.0072 6.88 6.81 2.78 2.06 0.475 0.649 1.20 0.749
931.618 112.950 10.4 0.0068 6.89 6.83 2.78 2.06 0.489 0.654 1.20 0.745
958.917 112.951 10.4 0.0047 6.90 6.83 2.78 2.06 0.493 0.653 1.20 0.744
987.015 112.950 10.4 0.0057 6.91 6.82 2.77 2.06 0.491 0.651 1.21 0.745
1015.937 112.949 10.4 0.0082 6.91 6.80 2.78 2.07 0.490 0.648 1.21 0.746
1045.706 112.949 10.4 0.0057 6.91 6.82 2.78 2.06 0.490 0.654 1.21 0.745
1076.347 112.949 10.4 0.0082 6.90 6.83 2.78 2.05 0.491 0.653 1.20 0.746
1107.887 112.948 10.4 0.0054 6.90 6.82 2.78 2.06 0.482 0.656 1.20 0.747
1140.350 112.944 10.4 0.0055 6.89 6.79 2.79 2.06 0.471 0.647 1.20 0.752
1173.765 112.939 10.4 0.0064 6.88 6.75 2.81 2.07 0.455 0.640 1.20 0.757
1208.159 112.936 10.4 0.0063 6.87 6.74 2.81 2.06 0.440 0.637 1.19 0.763
1243.561 112.935 10.4 0.0057 6.87 6.75 2.81 2.06 0.433 0.638 1.19 0.765
1280.000 112.938 10.4 0.0063 6.87 6.75 2.81 2.06 0.445 0.638 1.19 0.762
1317.507 112.944 10.4 0.0072 6.90 6.77 2.80 2.07 0.467 0.646 1.20 0.752
1356.113 112.952 10.5 0.0062 6.92 6.84 2.78 2.06 0.496 0.656 1.21 0.742
1395.850 112.956 10.5 0.0061 6.93 6.89 2.77 2.05 0.521 0.664 1.21 0.735
1436.751 112.957 10.5 0.0075 6.94 6.88 2.76 2.06 0.524 0.663 1.21 0.732
1478.851 112.956 10.5 0.0061 6.94 6.86 2.76 2.07 0.524 0.661 1.22 0.731
1522.185 112.956 10.5 0.0088 6.94 6.88 2.77 2.06 0.520 0.663 1.21 0.733
1566.789 112.951 10.5 0.0062 6.93 6.86 2.77 2.06 0.502 0.662 1.21 0.741
1612.699 112.943 10.4 0.0078 6.92 6.79 2.80 2.07 0.476 0.647 1.20 0.749
1659.955 112.937 10.4 0.0076 6.89 6.76 2.81 2.06 0.448 0.641 1.20 0.759
1708.595 112.937 10.4 0.0079 6.89 6.76 2.82 2.06 0.442 0.640 1.19 0.761
1758.661 112.943 10.4 0.0076 6.91 6.77 2.80 2.07 0.465 0.646 1.20 0.752
1810.193 112.954 10.5 0.0054 6.94 6.86 2.78 2.06 0.504 0.659 1.21 0.734
1863.236 112.960 10.5 0.0074 6.96 6.92 2.76 2.06 0.536 0.669 1.22 0.716
1917.833 112.960 10.5 0.0060 6.97 6.89 2.76 2.07 0.540 0.665 1.22 0.699
1974.030 112.957 10.5 0.0067 6.96 6.90 2.77 2.05 0.528 0.665 1.21 0.672
2031.873 112.949 10.5 0.0062 6.94 6.84 2.79 2.06 0.494 0.659 1.20 0.632
2091.412 112.937 10.4 0.0091 6.90 6.75 2.82 2.07 0.448 0.641 1.18 0.567
2152.695 112.933 10.4 0.0082 6.88 6.74 2.83 2.06 0.425 0.636 1.15 0.470
2215.774 112.941 10.4 0.011 6.90 6.75 2.82 2.07 0.449 0.641 1.11 0.353
2280.701 112.954 10.4 0.0083 6.94 6.86 2.78 2.06 0.501 0.659 1.04 0.246
