* Distortion data saved by REW V5.20.13
* Dated: Oct 16, 2023 6:52:14 AM
* Source: Universal Audio Thunderbolt, Universal Audio Thunderbolt, 1, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -40.0 dBFS with no timing reference
* Measurement: SSL 20 Oct 16
* Frequency Step: 24 ppo
* Freq (Hz) Fundamental (dB) THD (%) Noise (%) H2 (%) H3 (%) H4 (%) H5 (%) H6 (%) H7 (%) H8 (%) H9 (%)
269.087 91.562 0.048 0.0059 0.047 0.010 0.0024 0.0016 0.0018 0.0021 0.0014 0.0016
276.972 91.578 0.048 0.0022 0.047 0.011 0.0025 0.0023 0.0016 0.0012 0.0021 0.0015
285.088 91.581 0.050 0.0018 0.049 0.010 0.0020 0.0024 0.0016 0.0013 0.0021 0.0015
293.441 91.575 0.051 0.0040 0.050 0.0092 0.0020 0.0024 0.0019 0.0025 0.0012 0.0011
302.040 91.569 0.049 0.0035 0.048 0.011 0.0021 0.0019 0.0019 0.0030 0.0015 7.1E-4
310.890 91.568 0.048 0.0043 0.046 0.012 0.0022 0.0015 0.0020 0.0029 0.0018 8.2E-4
320.000 91.574 0.050 0.0033 0.048 0.012 0.0025 0.0020 0.0018 0.0021 0.0021 0.0016
329.377 91.576 0.050 0.0023 0.049 0.011 0.0021 0.0015 0.0020 0.0012 0.0015 0.0020
339.028 91.567 0.049 0.0035 0.048 0.011 0.0028 0.0015 0.0013 0.0013 0.0017 0.0020
348.962 91.566 0.049 0.019 0.048 0.0098 0.0021 0.0013 0.0020 0.0018 0.0014 0.0019
359.188 91.576 0.049 0.0023 0.048 0.010 0.0019 0.0019 0.0026 0.0022 0.0019 0.0022
369.713 91.595 0.048 0.0028 0.047 0.0093 0.0025 0.0011 0.0012 0.0018 0.0021 0.0013
380.546 91.618 0.047 0.0018 0.046 0.0090 0.0024 0.0020 0.0016 0.0017 0.0020 9.6E-4
391.697 91.629 0.049 0.0025 0.047 0.011 0.0019 0.0029 0.0023 0.0022 0.0023 0.0012
403.175 91.639 0.050 0.0043 0.049 0.011 0.0018 0.0022 0.0022 0.0024 0.0016 0.0016
414.989 91.648 0.052 0.0028 0.051 0.012 0.0019 0.0027 0.0023 0.0021 0.0020 0.0019
427.149 91.656 0.052 0.0040 0.050 0.012 0.0021 0.0021 0.0022 0.0023 0.0017 0.0019
439.665 91.660 0.051 0.0037 0.049 0.013 0.0026 0.0022 0.0019 0.0021 0.0023 0.0020
452.548 91.660 0.051 0.0042 0.050 0.013 0.0023 0.0016 0.0020 0.0023 0.0025 0.0024
