* Distortion data saved by REW V5.20.13
* Dated: Oct 16, 2023 7:35:23 AM
* Source: Universal Audio Thunderbolt, Universal Audio Thunderbolt, 1, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -40.0 dBFS with no timing reference
* Measurement: B1D 10
* Frequency Step: 24 ppo
* Freq (Hz) Fundamental (dB) THD (%) Noise (%) H2 (%) H3 (%) H4 (%) H5 (%) H6 (%) H7 (%) H8 (%) H9 (%)
439.665 106.905 0.078 0.0034 0.075 0.022 0.0028 0.0039 0.0033 0.0028 0.0025 0.0020
452.548 106.907 0.078 0.0053 0.075 0.022 0.0027 0.0023 0.0027 0.0042 0.0020 0.0023
465.809 106.908 0.079 0.0038 0.075 0.023 0.0028 0.0035 0.0026 0.0038 0.0030 0.0029
479.458 106.908 0.077 0.0068 0.074 0.021 0.0022 0.0036 0.0020 0.0021 0.0036 0.0034
493.507 106.909 0.077 0.0076 0.073 0.022 0.0033 0.0035 0.0024 0.0025 0.0036 0.0032
507.968 106.909 0.075 0.0051 0.072 0.019 0.0043 0.0035 0.0034 0.0027 0.0017 0.0036
522.853 106.908 0.074 0.0067 0.070 0.020 0.0033 0.0038 0.0032 0.0041 0.0032 0.0036
538.174 106.908 0.072 0.0088 0.069 0.019 0.0034 0.0025 0.0020 0.0042 0.0033 0.0041
553.943 106.907 0.071 0.0067 0.068 0.020 0.0039 0.0036 0.0020 0.0038 0.0026 0.0033
570.175 106.907 0.071 0.0083 0.067 0.020 0.0033 0.0043 0.0034 0.0034 0.0021 0.0019
586.883 106.908 0.071 0.0069 0.067 0.021 0.0035 0.0040 0.0029 0.0038 0.0021 0.0027
604.080 106.909 0.072 0.0072 0.067 0.024 0.0036 0.0042 0.0025 0.0030 0.0033 0.0030
621.780 106.910 0.071 0.013 0.067 0.022 0.0040 0.0035 0.0026 0.0032 0.0038 0.0029
640.000 106.911 0.069 0.0063 0.065 0.020 0.0041 0.0031 0.0030 0.0029 0.0032 0.0029
658.753 106.911 0.070 0.0093 0.067 0.020 0.0034 0.0031 0.0031 0.0027 0.0034 0.0034
678.056 106.911 0.071 0.0052 0.067 0.020 0.0033 0.0033 0.0032 0.0030 0.0032 0.0034
697.925 106.909 0.070 0.0072 0.067 0.019 0.0041 0.0041 0.0039 0.0030 0.0030 0.0037
718.376 106.907 0.071 0.0096 0.067 0.020 0.0042 0.0040 0.0039 0.0028 0.0027 0.0039
739.426 106.904 0.068 0.0061 0.065 0.020 0.0052 0.0032 0.0038 0.0032 0.0033 0.0034
761.093 106.902 0.069 0.0090 0.065 0.020 0.0051 0.0018 0.0035 0.0045 0.0039 0.0034
783.394 106.901 0.070 0.010 0.066 0.018 0.0041 0.0031 0.0042 0.0041 0.0040 0.0032
806.349 106.902 0.071 0.0077 0.068 0.019 0.0041 0.0045 0.0038 0.0032 0.0037 0.0032
829.977 106.905 0.070 0.0067 0.067 0.018 0.0048 0.0056 0.0034 0.0035 0.0035 0.0032
854.297 106.910 0.072 0.0065 0.069 0.019 0.0033 0.0042 0.0041 0.0037 0.0032 0.0043
879.330 106.915 0.074 0.0057 0.070 0.021 0.0035 0.0036 0.0048 0.0037 0.0035 0.0036
905.097 106.919 0.075 0.0079 0.072 0.019 0.0042 0.0042 0.0055 0.0034 0.0037 0.0042
931.618 106.921 0.075 0.0055 0.072 0.018 0.0041 0.0046 0.0043 0.0039 0.0041 0.0045
958.917 106.922 0.075 0.0086 0.073 0.018 0.0037 0.0046 0.0028 0.0042 0.0038 0.0045
987.015 106.921 0.076 0.0094 0.073 0.017 0.0043 0.0039 0.0027 0.0042 0.0041 0.0044
1015.937 106.921 0.077 0.0094 0.074 0.018 0.0045 0.0036 0.0039 0.0040 0.0045 0.0043
1045.706 106.920 0.077 0.011 0.074 0.017 0.0041 0.0036 0.0042 0.0042 0.0052 0.0040
1076.347 106.920 0.078 0.0075 0.076 0.015 0.0036 0.0037 0.0037 0.0045 0.0050 0.0045
1107.887 106.920 0.079 0.0091 0.077 0.015 0.0043 0.0042 0.0045 0.0035 0.0048 0.0051
1140.350 106.917 0.077 0.011 0.075 0.015 0.0036 0.0044 0.0043 0.0041 0.0043 0.0051
1173.765 106.912 0.074 0.0076 0.072 0.016 0.0037 0.0042 0.0038 0.0043 0.0044 0.0034
1208.159 106.907 0.075 0.0067 0.072 0.017 0.0042 0.0047 0.0040 0.0057 0.0052 0.0042
1243.561 106.906 0.074 0.010 0.071 0.016 0.0038 0.0039 0.0042 0.0048 0.0059 0.0049
1280.000 106.909 0.076 0.012 0.074 0.012 0.0042 0.0045 0.0050 0.0044 0.0047 0.0058
1317.507 106.917 0.077 0.0086 0.075 0.013 0.0050 0.0037 0.0056 0.0050 0.0044 0.0055
1356.113 106.925 0.078 0.012 0.076 0.013 0.0053 0.0046 0.0054 0.0050 0.0053 0.0049
1395.850 106.930 0.075 0.0086 0.072 0.014 0.0054 0.0056 0.0058 0.0061 0.0056 0.0055
1436.751 106.931 0.073 0.0095 0.071 0.014 0.0054 0.0053 0.0047 0.0062 0.0057 0.0066
1478.851 106.931 0.074 0.0094 0.072 0.013 0.0050 0.0055 0.0047 0.0048 0.0048 0.0054
1522.185 106.930 0.076 0.011 0.074 0.014 0.0048 0.0050 0.0055 0.0051 0.0062 0.0043
1566.789 106.927 0.076 0.013 0.073 0.014 0.0046 0.0058 0.0065 0.0050 0.0065 0.0050
