* Distortion data saved by REW V5.20.13
* Dated: Oct 16, 2023 6:53:50 AM
* Source: Universal Audio Thunderbolt, Universal Audio Thunderbolt, 1, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -40.0 dBFS with no timing reference
* Measurement: SSL 40
* Frequency Step: 24 ppo
* Freq (Hz) Fundamental (dB) THD (%) Noise (%) H2 (%) H3 (%) H4 (%) H5 (%) H6 (%) H7 (%) H8 (%) H9 (%)
253.984 111.621 0.114 0.0069 0.010 0.078 0.069 0.040 0.018 8.0E-4 0.0080 0.010
261.426 111.619 0.115 0.0027 0.011 0.077 0.069 0.042 0.019 0.0013 0.0085 0.011
269.087 111.617 0.116 0.0031 0.012 0.078 0.069 0.045 0.019 0.0012 0.0091 0.011
276.972 111.615 0.119 0.0031 0.013 0.081 0.069 0.045 0.018 0.0012 0.0089 0.0098
285.088 111.612 0.122 0.0029 0.012 0.086 0.069 0.045 0.017 0.0012 0.0090 0.0092
293.441 111.609 0.126 0.0028 0.011 0.091 0.070 0.045 0.019 0.0017 0.0085 0.0091
302.040 111.607 0.129 0.0050 0.010 0.095 0.070 0.044 0.020 0.0014 0.0084 0.010
310.890 111.604 0.128 0.0032 0.0096 0.096 0.069 0.043 0.019 0.0013 0.0085 0.0096
320.000 111.601 0.125 0.0028 0.0080 0.093 0.068 0.041 0.019 9.7E-4 0.0094 0.0094
329.377 111.599 0.121 0.0025 0.0076 0.089 0.068 0.040 0.018 0.0016 0.0095 0.0097
339.028 111.598 0.119 0.0014 0.0084 0.086 0.067 0.041 0.019 0.0015 0.0082 0.0099
348.962 111.596 0.119 0.019 0.0095 0.085 0.068 0.042 0.018 0.0019 0.0083 0.010
359.188 111.595 0.120 0.0035 0.011 0.086 0.068 0.044 0.017 0.0018 0.0085 0.010
369.713 111.595 0.121 0.0029 0.013 0.086 0.068 0.044 0.019 0.0018 0.0085 0.0097
380.546 111.595 0.121 0.0031 0.013 0.086 0.069 0.043 0.020 0.0017 0.0086 0.0096
391.697 111.596 0.118 0.0029 0.014 0.082 0.068 0.044 0.020 0.0017 0.0090 0.0099
403.175 111.597 0.115 0.0028 0.013 0.076 0.068 0.044 0.019 0.0015 0.0080 0.012
414.989 111.598 0.114 0.0037 0.013 0.076 0.069 0.042 0.019 0.0017 0.0079 0.0097
427.149 111.599 0.115 0.0043 0.012 0.080 0.069 0.039 0.016 0.0023 0.0083 0.0089
439.665 111.600 0.121 0.0018 0.0090 0.089 0.067 0.041 0.017 0.0020 0.0082 0.0091
452.548 111.601 0.126 0.0040 0.0058 0.094 0.067 0.045 0.019 0.0014 0.0069 0.011
465.809 111.602 0.127 0.0064 0.0062 0.094 0.068 0.045 0.020 0.0015 0.0074 0.0099
479.458 111.603 0.124 0.0035 0.0062 0.090 0.069 0.044 0.019 0.0016 0.0076 0.0090
493.507 111.603 0.122 0.0045 0.0076 0.087 0.069 0.044 0.018 0.0016 0.0076 0.0089
507.968 111.603 0.121 0.0034 0.0081 0.088 0.069 0.041 0.017 0.0014 0.0083 0.0099
522.853 111.603 0.121 0.0043 0.0070 0.088 0.068 0.040 0.019 0.0017 0.0079 0.0099
538.174 111.603 0.120 0.0067 0.0054 0.084 0.070 0.044 0.020 0.0022 0.0083 0.0096
553.943 111.604 0.116 0.0039 0.0063 0.077 0.068 0.047 0.019 0.0022 0.0083 0.011
570.175 111.606 0.114 0.0042 0.0081 0.077 0.067 0.044 0.018 0.0023 0.0078 0.011
586.883 111.608 0.120 0.0046 0.011 0.085 0.068 0.042 0.017 0.0027 0.0077 0.010
604.080 111.611 0.127 0.0068 0.014 0.094 0.070 0.040 0.019 0.0027 0.0085 0.0094
621.780 111.614 0.126 0.0040 0.016 0.094 0.069 0.040 0.020 0.0025 0.0074 0.0099
640.000 111.617 0.125 0.0041 0.015 0.090 0.069 0.045 0.019 0.0028 0.0074 0.010
658.753 111.617 0.123 0.0018 0.012 0.088 0.069 0.045 0.017 0.0025 0.0095 0.010
678.056 111.616 0.120 0.0037 0.0085 0.086 0.068 0.042 0.019 0.0021 0.0085 0.011
697.925 111.613 0.114 0.0061 0.0054 0.078 0.068 0.040 0.019 0.0024 0.0070 0.010
718.376 111.607 0.113 0.0039 0.0060 0.074 0.069 0.043 0.018 0.0023 0.0088 0.011
739.426 111.600 0.121 0.0028 0.0065 0.085 0.069 0.045 0.018 0.0020 0.0082 0.011
761.093 111.594 0.127 0.0048 0.0060 0.093 0.070 0.044 0.021 0.0022 0.0076 0.010
783.394 111.588 0.123 0.0043 0.0073 0.091 0.067 0.041 0.020 0.0021 0.0080 0.0084
806.349 111.585 0.122 0.0032 0.010 0.088 0.068 0.043 0.018 0.0023 0.0070 0.0094
829.977 111.584 0.122 0.0038 0.014 0.084 0.070 0.046 0.019 0.0022 0.0078 0.010
854.297 111.587 0.114 0.0043 0.015 0.075 0.069 0.043 0.020 0.0025 0.0078 0.011
879.330 111.591 0.113 0.0051 0.012 0.078 0.068 0.039 0.018 0.0023 0.0079 0.010
905.097 111.595 0.123 0.0060 0.0068 0.091 0.066 0.043 0.020 0.0029 0.0080 0.0089
931.618 111.598 0.126 0.0066 0.0043 0.094 0.068 0.045 0.019 0.0029 0.0077 0.0088
958.917 111.600 0.122 0.0041 0.0051 0.089 0.070 0.040 0.018 0.0031 0.0083 0.0080
987.015 111.602 0.117 0.0049 0.0073 0.084 0.068 0.039 0.019 0.0028 0.0077 0.0090
1015.937 111.604 0.114 0.0040 0.010 0.076 0.068 0.044 0.018 0.0028 0.0083 0.0089
1045.706 111.609 0.122 0.0046 0.015 0.087 0.070 0.041 0.018 0.0029 0.0085 0.0092
1076.347 111.613 0.128 0.0067 0.017 0.095 0.070 0.041 0.019 0.0024 0.0090 0.0098
1107.887 111.614 0.125 0.0049 0.014 0.091 0.069 0.044 0.017 0.0025 0.0083 0.010
1140.350 111.611 0.118 0.0051 0.0074 0.083 0.069 0.042 0.018 0.0024 0.0092 0.011
1173.765 111.602 0.115 0.0055 0.0054 0.076 0.071 0.043 0.018 0.0026 0.0096 0.011
1208.159 111.590 0.125 0.0049 0.0060 0.091 0.069 0.044 0.019 0.0028 0.0078 0.010
1243.561 111.582 0.123 0.0063 0.0097 0.093 0.067 0.039 0.019 0.0033 0.0073 0.0099
1280.000 111.581 0.121 0.0051 0.015 0.084 0.069 0.045 0.018 0.0029 0.0075 0.0098
1317.507 111.586 0.113 0.0054 0.014 0.073 0.070 0.043 0.020 0.0026 0.0074 0.0094
1356.113 111.595 0.122 0.0060 0.0079 0.089 0.068 0.044 0.019 0.0028 0.0084 0.0076
1395.850 111.602 0.127 0.0056 0.0050 0.093 0.070 0.045 0.019 0.0030 0.0095 0.0075
1436.751 111.608 0.119 0.0054 0.0097 0.083 0.070 0.040 0.019 0.0038 0.0090 0.0092
1478.851 111.613 0.116 0.0068 0.016 0.077 0.070 0.043 0.019 0.0040 0.0089 0.0098
1522.185 111.618 0.128 0.0056 0.020 0.095 0.070 0.040 0.019 0.0037 0.0082 0.0097
1566.789 111.618 0.125 0.0053 0.014 0.091 0.068 0.044 0.017 0.0035 0.0085 0.0098
1612.699 111.608 0.114 0.0088 0.0060 0.077 0.070 0.040 0.019 0.0035 0.0084 0.010
1659.955 111.592 0.123 0.0060 0.0074 0.088 0.069 0.044 0.018 0.0034 0.0082 0.011
1708.595 111.582 0.124 0.0075 0.015 0.091 0.069 0.041 0.018 0.0033 0.0079 0.0088
1758.661 111.585 0.117 0.0076 0.017 0.078 0.069 0.044 0.020 0.0039 0.0082 0.0084
1810.193 111.597 0.123 0.0055 0.011 0.088 0.069 0.043 0.019 0.0037 0.0081 0.0085
1863.236 111.608 0.125 0.0072 0.0067 0.092 0.070 0.042 0.018 0.0041 0.0085 0.0100
1917.833 111.617 0.117 0.0062 0.014 0.078 0.069 0.044 0.018 0.0037 0.0084 0.0093
1974.030 111.622 0.127 0.0065 0.021 0.092 0.071 0.041 0.018 0.0036 0.0088 0.0097
2031.873 111.617 0.123 0.0074 0.013 0.087 0.070 0.044 0.019 0.0040 0.0087 0.0087
2091.412 111.598 0.117 0.0062 0.0097 0.080 0.070 0.043 0.017 0.0037 0.0082 0.0083
2152.695 111.580 0.125 0.0083 0.018 0.092 0.069 0.040 0.018 0.0041 0.0077 0.0071
2215.774 111.582 0.116 0.0067 0.019 0.079 0.069 0.042 0.020 0.0037 0.0074 0.0046
2280.701 111.598 0.124 0.0066 0.010 0.091 0.068 0.042 0.020 0.0039 0.0070 0.0036
